compound_id	structure_issue	stereochemistry_issue	double_bond_issue	sugar_issue	acyl_chain_issue	source_conflict	recommended_action	reference_id	status	notes
PAPU-0112	Full machine-readable structure is not curated from Scheme 1/experimental data	beta-D-glucopyranoside stereochemistry should be manually encoded in isomeric SMILES	palmitoyl chains are saturated; no alkene geometry issue	galactose absent; classical aryl beta-glucoside, not Papulacandin spiroglucoside	palmitoyl ester at glucose O-3; verify O-2/O-3 assignment from HMBC and Scheme 1	none noted	Draw full isomeric SMILES from Scheme 1 and experimental section before modeling	PAPER-2015-DESOUZA	open	Paper compound 12: 4-formyl-2-methoxyphenyl 3-O-palmitoyl-4,6-O-benzylidene-beta-D-glucopyranoside 12; formula note C37H52O9; isolated/reported yield 31%.
PAPU-0113	Full machine-readable structure is not curated from Scheme 1/experimental data	beta-D-glucopyranoside stereochemistry should be manually encoded in isomeric SMILES	palmitoyl chains are saturated; no alkene geometry issue	galactose absent; classical aryl beta-glucoside, not Papulacandin spiroglucoside	palmitoyl ester at glucose O-2; verify O-2/O-3 assignment from HMBC and Scheme 1	none noted	Draw full isomeric SMILES from Scheme 1 and experimental section before modeling	PAPER-2015-DESOUZA	open	Paper compound 13: 4-formyl-2-methoxyphenyl 2-O-palmitoyl-4,6-O-benzylidene-beta-D-glucopyranoside 13; formula note C37H52O9; isolated/reported yield 27%.
PAPU-0114	Full machine-readable structure is not curated from Scheme 1/experimental data	beta-D-glucopyranoside stereochemistry should be manually encoded in isomeric SMILES	palmitoyl chains are saturated; no alkene geometry issue	galactose absent; classical aryl beta-glucoside, not Papulacandin spiroglucoside	two palmitoyl esters at glucose O-2 and O-3; verify O-2/O-3 assignment from HMBC and Scheme 1	none noted	Draw full isomeric SMILES from Scheme 1 and experimental section before modeling	PAPER-2015-DESOUZA	open	Paper compound 14: 4-formyl-2-methoxyphenyl 2,3-di-O-palmitoyl-4,6-O-benzylidene-beta-D-glucopyranoside 14; formula note C53H82O10; isolated/reported yield 13%.
PAPU-0115	Full machine-readable structure is not curated from Scheme 1/experimental data	beta-D-glucopyranoside stereochemistry should be manually encoded in isomeric SMILES	palmitoyl chains are saturated; no alkene geometry issue	galactose absent; classical aryl beta-glucoside, not Papulacandin spiroglucoside	palmitoyl ester at glucose O-3; verify O-2/O-3 assignment from HMBC and Scheme 1	none noted	Draw full isomeric SMILES from Scheme 1 and experimental section before modeling	PAPER-2015-DESOUZA	open	Paper compound 15: 3-formylphenyl 3-O-palmitoyl-4,6-O-benzylidene-beta-D-glucopyranoside 15; formula note C36H50O8; isolated/reported yield 24%.
PAPU-0116	Full machine-readable structure is not curated from Scheme 1/experimental data	beta-D-glucopyranoside stereochemistry should be manually encoded in isomeric SMILES	palmitoyl chains are saturated; no alkene geometry issue	galactose absent; classical aryl beta-glucoside, not Papulacandin spiroglucoside	palmitoyl ester at glucose O-2; verify O-2/O-3 assignment from HMBC and Scheme 1	none noted	Draw full isomeric SMILES from Scheme 1 and experimental section before modeling	PAPER-2015-DESOUZA	open	Paper compound 16: 3-formylphenyl 2-O-palmitoyl-4,6-O-benzylidene-beta-D-glucopyranoside 16; formula note C36H50O8; isolated/reported yield 40%.
PAPU-0117	Full machine-readable structure is not curated from Scheme 1/experimental data	beta-D-glucopyranoside stereochemistry should be manually encoded in isomeric SMILES	palmitoyl chains are saturated; no alkene geometry issue	galactose absent; classical aryl beta-glucoside, not Papulacandin spiroglucoside	two palmitoyl esters at glucose O-2 and O-3; verify O-2/O-3 assignment from HMBC and Scheme 1	none noted	Draw full isomeric SMILES from Scheme 1 and experimental section before modeling	PAPER-2015-DESOUZA	open	Paper compound 17: 3-formylphenyl 2,3-di-O-palmitoyl-4,6-O-benzylidene-beta-D-glucopyranoside 17; formula note C52H80O9; isolated/reported yield 18%.
PAPU-0118	Full machine-readable structure is not curated from Scheme 1/experimental data	beta-D-glucopyranoside stereochemistry should be manually encoded in isomeric SMILES	palmitoyl chains are saturated; no alkene geometry issue	galactose absent; classical aryl beta-glucoside, not Papulacandin spiroglucoside	palmitoyl ester at glucose O-3; verify O-2/O-3 assignment from HMBC and Scheme 1	none noted	Draw full isomeric SMILES from Scheme 1 and experimental section before modeling	PAPER-2015-DESOUZA	open	Paper compound 18: 4-formyl-2-methoxyphenyl 3-O-palmitoyl-beta-D-glucopyranoside 18; formula note C30H48O9; isolated/reported yield 92%.
PAPU-0119	Full machine-readable structure is not curated from Scheme 1/experimental data	beta-D-glucopyranoside stereochemistry should be manually encoded in isomeric SMILES	palmitoyl chains are saturated; no alkene geometry issue	galactose absent; classical aryl beta-glucoside, not Papulacandin spiroglucoside	palmitoyl ester at glucose O-2; verify O-2/O-3 assignment from HMBC and Scheme 1	none noted	Draw full isomeric SMILES from Scheme 1 and experimental section before modeling	PAPER-2015-DESOUZA	open	Paper compound 19: 4-formyl-2-methoxyphenyl 2-O-palmitoyl-beta-D-glucopyranoside 19; formula note C30H48O9; isolated/reported yield 88%.
PAPU-0120	Full machine-readable structure is not curated from Scheme 1/experimental data	beta-D-glucopyranoside stereochemistry should be manually encoded in isomeric SMILES	palmitoyl chains are saturated; no alkene geometry issue	galactose absent; classical aryl beta-glucoside, not Papulacandin spiroglucoside	two palmitoyl esters at glucose O-2 and O-3; verify O-2/O-3 assignment from HMBC and Scheme 1	none noted	Draw full isomeric SMILES from Scheme 1 and experimental section before modeling	PAPER-2015-DESOUZA	open	Paper compound 20: 4-formyl-2-methoxyphenyl 2,3-di-O-palmitoyl-beta-D-glucopyranoside 20; formula note C46H78O10; isolated/reported yield 83%.
PAPU-0121	Full machine-readable structure is not curated from Scheme 1/experimental data	beta-D-glucopyranoside stereochemistry should be manually encoded in isomeric SMILES	palmitoyl chains are saturated; no alkene geometry issue	galactose absent; classical aryl beta-glucoside, not Papulacandin spiroglucoside	palmitoyl ester at glucose O-3; verify O-2/O-3 assignment from HMBC and Scheme 1	none noted	Draw full isomeric SMILES from Scheme 1 and experimental section before modeling	PAPER-2015-DESOUZA	open	Paper compound 21: 3-formylphenyl 3-O-palmitoyl-beta-D-glucopyranoside 21; formula note C29H46O8; isolated/reported yield 86%.
PAPU-0122	Full machine-readable structure is not curated from Scheme 1/experimental data	beta-D-glucopyranoside stereochemistry should be manually encoded in isomeric SMILES	palmitoyl chains are saturated; no alkene geometry issue	galactose absent; classical aryl beta-glucoside, not Papulacandin spiroglucoside	palmitoyl ester at glucose O-2; verify O-2/O-3 assignment from HMBC and Scheme 1	none noted	Draw full isomeric SMILES from Scheme 1 and experimental section before modeling	PAPER-2015-DESOUZA	open	Paper compound 22: 3-formylphenyl 2-O-palmitoyl-beta-D-glucopyranoside 22; formula note C29H46O8; isolated/reported yield 89%.
PAPU-0123	Full machine-readable structure is not curated from Scheme 1/experimental data	beta-D-glucopyranoside stereochemistry should be manually encoded in isomeric SMILES	palmitoyl chains are saturated; no alkene geometry issue	galactose absent; classical aryl beta-glucoside, not Papulacandin spiroglucoside	two palmitoyl esters at glucose O-2 and O-3; verify O-2/O-3 assignment from HMBC and Scheme 1	none noted	Draw full isomeric SMILES from Scheme 1 and experimental section before modeling	PAPER-2015-DESOUZA	open	Paper compound 23: 3-formylphenyl 2,3-di-O-palmitoyl-beta-D-glucopyranoside 23; formula note C45H76O9; isolated/reported yield 72%.
PAPU-0124	Structure shown in Fig. 1 and supported by NMR/HR-ESIMS, but full machine-readable isomeric structure is not curated	Sugar anomeries assigned as beta-glucoside and beta-galactoside; full absolute stereochemical SMILES needs manual transcription	All geometric isomerisms reported as E by large coupling constants; encode C-1'' chain and C-1''' chain geometry after drawing	Contains glucose and beta-galactopyranoside; no spirocyclic papulacandin core; galactose linked to glucose through an O-glycosidic bond	C-1'' unsaturated hydroxy C12 acyl chain esterifies glucose H-3/O-3; C-1''' C12 2-enoic fatty acid esterifies galactose H-6'/O-6'; verify in Fig. 1	none noted	Manually draw full isomeric SMILES from Fig. 1/Table 1 before modeling; keep chaetiacandin-type absent-spiro status explicit. Incorporate Lu 2024 residue D hydroxy R assignment during manual structure drawing	PAPER-2018-SAKAI;PAPER-2024-LU	curated	Formula C43H62O16 supported by HR-ESIMS [M+Na]+ m/z 857.3962; two pyranose units assigned as glucose and galactose. Lu 2024 re-isolated pestiocandin as compound 7 and used methanolysis plus modified Mosher analysis to assign the residue D hydroxy group as R
PAPU-0125	Full machine-readable isomeric structure is not curated from Figure 2/Scheme 2	beta-D-glucopyranoside stereochemistry should be encoded in isomeric SMILES; aryl O-glycoside replaces natural spiroketal stereochemical core	Cinnamoyl alkene is E by name/NMR coupling; terminal allyl alkene has no E/Z issue	galactose absent; classical aryl beta-glucoside, not Papulacandin spiroglucoside	para-allyloxycinnamoylaminobenzoyl side chain at glucose C-3; verify C-3 ester assignment from HMBC before modeling	the antifungal organism list repeats Candida albicans; no strain identifiers reported	Draw full isomeric SMILES from Figure 2/Scheme 2 and verify formula C33H33NO11 before descriptor generation	PAPER-2020-BRETAS	curated	Structure was characterized by NMR; HMBC correlation with H-3 supports selective esterification at glucose C-3.
PAPU-0126	Full machine-readable isomeric structure is not curated from Figure 2/Scheme 2	beta-D-glucopyranoside stereochemistry should be encoded in isomeric SMILES; aryl O-glycoside replaces natural spiroketal stereochemical core	Cinnamoyl alkene is E by name/NMR coupling; terminal allyl alkene has no E/Z issue	galactose absent; classical aryl beta-glucoside, not Papulacandin spiroglucoside	meta-allyloxycinnamoylaminobenzoyl side chain at glucose C-3; verify C-3 ester assignment from HMBC before modeling	the antifungal organism list repeats Candida albicans; no strain identifiers reported	Draw full isomeric SMILES from Figure 2/Scheme 2 and verify formula C33H33NO11 before descriptor generation	PAPER-2020-BRETAS	curated	Structure was characterized by NMR; HMBC correlation with H-3 supports selective esterification at glucose C-3.
PAPU-0127	Structure shown in Figure 1 and supported by NMR/HR-ESIMS, but full machine-readable isomeric structure is not curated	Core/sugar stereochemistry and side-chain hydroxy assignments require manual confirmation when drawing isomeric SMILES; residue D/E hydroxy R assigned or inferred in the paper	Preserve reported E/Z geometry: residue D all E; residue E 2E,4E; residue C has C-4''' Z geometry	Contains beta-D-glucose and beta-D-galactose; distinguish non-spiro pestiocandin-like compounds 1-3 from spirocyclic compounds 4-6	R1=A at galactose C-6'; R2=D at glucose C-3	The fungal species is printed as Pestalotiopsis rosea in the title but P. roesa in parts of the text	Manually draw full isomeric SMILES from Figure 1 and verify formulas, acyl-chain mapping, and stereochemistry before modeling	PAPER-2024-LU	curated	non-spiro pestiocandin-like diglycoside; verify shortened residue A side-chain length
PAPU-0128	Structure shown in Figure 1 and supported by NMR/HR-ESIMS, but full machine-readable isomeric structure is not curated	Core/sugar stereochemistry and side-chain hydroxy assignments require manual confirmation when drawing isomeric SMILES; residue D/E hydroxy R assigned or inferred in the paper	Preserve reported E/Z geometry: residue D all E; residue E 2E,4E; residue C has C-4''' Z geometry	Contains beta-D-glucose and beta-D-galactose; distinguish non-spiro pestiocandin-like compounds 1-3 from spirocyclic compounds 4-6	R1=B at galactose C-6'; R2=E at glucose C-3	The fungal species is printed as Pestalotiopsis rosea in the title but P. roesa in parts of the text	Manually draw full isomeric SMILES from Figure 1 and verify formulas, acyl-chain mapping, and stereochemistry before modeling	PAPER-2024-LU	curated	non-spiro pestiocandin-like diglycoside; verify residue E hydroxy dienoic chain and text numbering
PAPU-0129	Structure shown in Figure 1 and supported by NMR/HR-ESIMS, but full machine-readable isomeric structure is not curated	Core/sugar stereochemistry and side-chain hydroxy assignments require manual confirmation when drawing isomeric SMILES; residue D/E hydroxy R assigned or inferred in the paper	Preserve reported E/Z geometry: residue D all E; residue E 2E,4E; residue C has C-4''' Z geometry	Contains beta-D-glucose and beta-D-galactose; distinguish non-spiro pestiocandin-like compounds 1-3 from spirocyclic compounds 4-6	R1=C at galactose C-6'; R2=D at glucose C-3	The fungal species is printed as Pestalotiopsis rosea in the title but P. roesa in parts of the text	Manually draw full isomeric SMILES from Figure 1 and verify formulas, acyl-chain mapping, and stereochemistry before modeling	PAPER-2024-LU	curated	non-spiro pestiocandin-like diglycoside; preserve C-4''' Z geometry in residue C
PAPU-0130	Structure shown in Figure 1 and supported by NMR/HR-ESIMS, but full machine-readable isomeric structure is not curated	Core/sugar stereochemistry and side-chain hydroxy assignments require manual confirmation when drawing isomeric SMILES; residue D/E hydroxy R assigned or inferred in the paper	Preserve reported E/Z geometry: residue D all E; residue E 2E,4E; residue C has C-4''' Z geometry	Contains beta-D-glucose and beta-D-galactose; distinguish non-spiro pestiocandin-like compounds 1-3 from spirocyclic compounds 4-6	R1=B at galactose C-6'; R2=D at glucose C-3	The fungal species is printed as Pestalotiopsis rosea in the title but P. roesa in parts of the text	Manually draw full isomeric SMILES from Figure 1 and verify formulas, acyl-chain mapping, and stereochemistry before modeling. Review Wu 2025 Figure 2/Table 1/Table 2 during structure/activity reconciliation	PAPER-2024-LU;PAPER-2025-WU	curated	spirocyclic papulacandin B-like core; verify full spiro stereochemistry. Wu 2025 provides a co-culture source and fluconazole-resistant C. albicans MIC50 data
PAPU-0131	Structure shown in Figure 1 and supported by NMR/HR-ESIMS, but full machine-readable isomeric structure is not curated	Core/sugar stereochemistry and side-chain hydroxy assignments require manual confirmation when drawing isomeric SMILES; residue D/E hydroxy R assigned or inferred in the paper	Preserve reported E/Z geometry: residue D all E; residue E 2E,4E; residue C has C-4''' Z geometry	Contains beta-D-glucose and beta-D-galactose; distinguish non-spiro pestiocandin-like compounds 1-3 from spirocyclic compounds 4-6	R1=A at galactose C-6'; R2=D at glucose C-3	The fungal species is printed as Pestalotiopsis rosea in the title but P. roesa in parts of the text	Manually draw full isomeric SMILES from Figure 1 and verify formulas, acyl-chain mapping, and stereochemistry before modeling. Review Wu 2025 Figure 2/Table 1/Table 2 during structure/activity reconciliation	PAPER-2024-LU;PAPER-2025-WU	curated	spirocyclic papulacandin B-like core; verify shortened residue A side-chain length. Wu 2025 provides a co-culture source and fluconazole-resistant C. albicans MIC50 data
PAPU-0132	Structure shown in Figure 1 and supported by NMR/HR-ESIMS, but full machine-readable isomeric structure is not curated	Core/sugar stereochemistry and side-chain hydroxy assignments require manual confirmation when drawing isomeric SMILES; residue D/E hydroxy R assigned or inferred in the paper	Preserve reported E/Z geometry: residue D all E; residue E 2E,4E; residue C has C-4''' Z geometry	Contains beta-D-glucose and beta-D-galactose; distinguish non-spiro pestiocandin-like compounds 1-3 from spirocyclic compounds 4-6	R1=C at galactose C-6'; R2=D at glucose C-3	The fungal species is printed as Pestalotiopsis rosea in the title but P. roesa in parts of the text	Manually draw full isomeric SMILES from Figure 1 and verify formulas, acyl-chain mapping, and stereochemistry before modeling	PAPER-2024-LU	curated	spirocyclic papulacandin B-like core; preserve C-4''' Z geometry in residue C
PAPU-0133	Structure shown in Figure 4 and supported by Table 2 NMR/HR-ESIMS, but full machine-readable isomeric structure is not curated	Sugar/core stereochemistry is inferred from papulacandin/Mer-WF3010 similarity and biosynthetic origin; manually verify absolute stereochemistry when drawing	Long acyl-chain E/Z geometry must be encoded from Figure 4/Table 2; short galactosyl C-6' C8 acyl chain is saturated	Contains glucose and galactose residues linked via beta-trans-1,4 linkage by NMR/biosynthetic inference	HMBC places polyunsaturated acyl residue at glucosyl C-3/O-3 and saturated C8 acyl residue at galactosyl C-6'/O-6'; verify numbering before modeling	none noted for structure; cytotoxic IC50 unit wording is inconsistent in Table 4 footnote but does not affect structure. Wu 2025 names a different formula C31H40O15 compound Papulacandin G; PAPU-0133 was disambiguated as Papulacandin G (Agudelo-Restrepo 2026)	Manually draw full isomeric SMILES from Figure 4 and verify C-3/C-6 prime acyl placement plus E/Z geometry before modeling. Use compound_id/formula/source paper rather than Papulacandin G name alone	PAPER-2026-AGUDELORESTREPO	curated	New papulacandin derivative, formula C45H66O16. It differs from Mer-WF3010 by absence of the conjugated three-double-bond system in the galactosyl short acyl chain. Name conflict identified after curating Wu 2025
PAPU-0134	Structure shown in Figure 2 and supported by Table 1 NMR/HR-FAB-MS, but full machine-readable isomeric structure is not curated	Core C-1/C-2 assigned as 1S/2R by quantum mechanical NMR/ECD comparison; full absolute stereochemistry and drawn SMILES need manual verification	Preserve reported trans/E geometry in the C-3 hydroxy tetraenoic chain; manually encode any C-6 prime side-chain double bond geometry	beta-galactopyranosyl group at glucose C-4 through O-glycosidic bond; spiroketal phthalane C-glycoside core	C-3 hydroxy tetraenoic C12 acyl chain and C-6' 9-hydroxy-2-dodecenoic acid acyl chain; C-9 triple-prime stereochemistry undetermined	The plant host appears as Wikstroemia nutans in title/abstract and Webera nutans in methods/conclusion	Manually draw full isomeric SMILES from Figure 2 and verify acyl-chain placement, E/Z geometry, and hydroxy stereochemistry before modeling	PAPER-2025-WU	curated	New Papulacandin F, formula C43H60O17. C-7 double-prime hydroxy R is provisional by NMR comparison.
PAPU-0135	Structure shown in Figure 2 and supported by Table 1 NMR/HR-FAB-MS, but full machine-readable isomeric structure is not curated	Core C-1/C-2 assigned as 1S/2R by quantum mechanical NMR/ECD comparison; full absolute stereochemistry and drawn SMILES need manual verification	Preserve reported trans/E geometry in the C-3 hydroxy tetraenoic chain; manually encode any C-6 prime side-chain double bond geometry	beta-galactopyranosyl group at glucose C-4 through O-glycosidic bond; spiroketal phthalane C-glycoside core	C-3 hydroxy tetraenoic C12 acyl chain retained; galactose C-6' fatty acid absent	The plant host appears as Wikstroemia nutans in title/abstract and Webera nutans in methods/conclusion; Papulacandin G name conflicts with a different 2026 compound	Manually draw full isomeric SMILES from Figure 2 and verify acyl-chain placement, E/Z geometry, and hydroxy stereochemistry before modeling	PAPER-2025-WU	curated	New Papulacandin G according to Wu 2025, formula C31H40O15. Name conflicts with PAPU-0133 from Agudelo-Restrepo 2026.
PAPU-0136	Structure shown in thesis screenshot Figure 8/Figure 16, but full machine-readable isomeric structure is not curated	beta-D-glucopyranoside stereochemistry and O-2/O-3 diester regiochemistry should be manually encoded in isomeric SMILES	Preserve two cinnamoyl E alkenes and two terminal allyl alkenes when drawing; terminal allyl alkenes have no E/Z issue	galactose absent; classical aryl beta-glucoside, not Papulacandin spiroglucoside	two bulky aromatic cadeia 11 side chains at glucose O-2/O-3; verify exact amide/benzoyl connectivity from thesis or later full source before descriptor generation	source is a user-provided thesis screenshot excerpt rather than searchable text/PDF; no detailed NMR/yield table visible in current file	Manually draw full isomeric SMILES from Figure 8/Figure 16 and verify formula C52H48N2O14 before modeling	PAPER-2010-DESOUZA	open	Thesis substance 19b; Table 69 reports no CIM50 activity at 200 ug/mL threshold for the four Candida species.
PAPU-0137	Structure shown in thesis screenshot Figure 8/Figure 16, but full machine-readable isomeric structure is not curated	beta-D-glucopyranoside stereochemistry and O-2/O-3 diester regiochemistry should be manually encoded in isomeric SMILES	Preserve two cinnamoyl E alkenes and two terminal allyl alkenes when drawing; terminal allyl alkenes have no E/Z issue	galactose absent; classical aryl beta-glucoside, not Papulacandin spiroglucoside	two bulky aromatic cadeia 11 side chains at glucose O-2/O-3; verify exact amide/benzoyl connectivity from thesis or later full source before descriptor generation	source is a user-provided thesis screenshot excerpt rather than searchable text/PDF; no detailed NMR/yield table visible in current file	Manually draw full isomeric SMILES from Figure 8/Figure 16 and verify formula C51H46N2O13 before modeling	PAPER-2010-DESOUZA	open	Thesis substance 20b; Table 69 reports no CIM50 activity at 200 ug/mL threshold for the four Candida species.
PAPU-0138	Structure shown in thesis screenshot, but full machine-readable isomeric structure is not curated	beta-D-glucopyranoside stereochemistry, 4,6-O-benzylidene acetal stereochemistry, and C3 ester assignment should be encoded manually	Preserve cinnamoyl E alkene and terminal allyl alkene when drawing; terminal allyl alkene has no E/Z issue	galactose absent; classical aryl beta-glucoside, not Papulacandin spiroglucoside	aromatic cadeia 12 side chain at glucose O-3; verify ester regiochemistry from thesis figures before modeling	source is a user-provided screenshot folder rather than searchable thesis text/PDF; detailed assay conditions and characterization tables are not visible	Draw full isomeric SMILES from the thesis product 8 screenshot and verify formula C40H37NO11 before descriptor generation	PAPER-2013-BRETAS	open	Compound 8: protected C3 ester precursor of analog 1; yield 23%; no activity up to 500 ug/mL.
PAPU-0139	Structure shown in thesis screenshot, but full machine-readable isomeric structure is not curated	beta-D-glucopyranoside stereochemistry, 4,6-O-benzylidene acetal stereochemistry, and C2 ester assignment should be encoded manually	Preserve cinnamoyl E alkene and terminal allyl alkene when drawing; terminal allyl alkene has no E/Z issue	galactose absent; classical aryl beta-glucoside, not Papulacandin spiroglucoside	aromatic cadeia 12 side chain at glucose O-2; verify ester regiochemistry from thesis figures before modeling	source is a user-provided screenshot folder rather than searchable thesis text/PDF; detailed assay conditions and characterization tables are not visible	Draw full isomeric SMILES from the thesis product 8.1 screenshot and verify formula C40H37NO11 before descriptor generation	PAPER-2013-BRETAS	open	Compound 8.1: protected C2 ester regioisomer; yield 17%; no activity up to 500 ug/mL.
PAPU-0140	Structure shown in thesis screenshot, but full machine-readable isomeric structure is not curated	beta-D-glucopyranoside stereochemistry, 4,6-O-benzylidene acetal stereochemistry, and O-2/O-3 diester assignment should be encoded manually	Preserve two cinnamoyl E alkenes and two terminal allyl alkenes when drawing; terminal allyl alkenes have no E/Z issue	galactose absent; classical aryl beta-glucoside, not Papulacandin spiroglucoside	two aromatic cadeia 12 side chains at glucose O-2/O-3; verify exact connectivity from thesis figures before modeling	source is a user-provided screenshot folder rather than searchable thesis text/PDF; detailed assay conditions and characterization tables are not visible	Draw full isomeric SMILES from the thesis product 8.2 screenshot and verify formula C59H52N2O14 before descriptor generation	PAPER-2013-BRETAS	open	Compound 8.2: protected 2,3-diester side product; yield 20%; no activity up to 500 ug/mL.
